Result,White,Black,Moves
1,LinearAI,LinearAI,e2e3 d6c4 b1a3 c4a3 b2a3 d5d4 c1b2 d4e3 d2e3 c6e4 b2c3 a5a4 c3b2 e6d6 d1c1 d6d5 e1e2 b6e6 c1b1 c5c4 b2c3 e4c2 b1c2 d5d3 c2b2 e5e4 b2b4 d3c3 b4c3 e6d6 a1d1 d6c5 d1d4 a6b6 d4e4 c5d6 e4e5 b6c6 e2e1 c6b6 c3b2 b5b4 b2b4 d6b4 a3b4 b6c6 e5c5 c6d6 c5c4 d6d5 c4c3 d5e5 b4b5 e5e4 b5b6 a4a3 b6d4 e4d5 d4d5
1,LinearAI,LinearAI,d2d3 e5e4 e2e3 e6e5 b1c3 e4d3 c2d3 c5c4 d1e2 c4d3 e2d3 d6c4 e1e2 b6c5 c3d5 c6d5 d3c3 d5e4 b2b3 c4e3 c3c5 e5c5 e2e3 e4c2 e3d4 c5c6 c1a3 c2b3 a2b3 a6b6 a1a2 a5a4 b3a4 b5a4 a2a1 b6b5 a1b1 b5a6 d4d3 c6b6 b1a1 a6b5 d3e2 b6a6 a1c1 a6e6 e2d3 e6e5 d3d4 e5e2 c1c5 b5a6 a3b4 e2a2 d4d5 a6b6 b4a5 b6a6 a5b4 a6b6 b4a5 b6a6 a5b4 a6b6 b4a5 b6a6 d5d4 a2a1 d4d3 a1b1 a5c3 a6b6 c5a5 b1d1 d3c4 d1a1 a5d5 b6c6 c3a1 a4a3 d5c5 c6b6 c5e5 b6a6 a1c3 a6b6 e5e6 b6a6 e6a6 a3a2 a6a2
0,LinearAI,LinearAI,c2c3 c5c4 e2e3 d6e4 b1a3 e6d6 d1c2 e4d2 c1d2 b6c5 e3e4 d5e4 e1e2 d6d3 c2c1 c6d5 d2e3 c5c6 c1c2 d5e6 c2b1 c6d6 b1c2 d6c6 c2b1 c6d6 b1c2 d6c6 c2b1 c6d6 b1c2 d6c6 c2c1 c6d6 a3b5 a6b5 c1c2 d6c6 e3c1 e4e3 c2d3 c4d3 e2d3 e6a2 d3e3 c6d5 e3e2 e5e4 e2e1 b5c6 c3c4 d5d4 a1a2 d4c4 a2a1 c4c2 c1d2 c2b2 a1a5 b2b1 e1e2 b1d3 e2d1 e4e3 a5a2 d3b1 d1e2 b1a2 e2e3 a2c2 d2b4 c2b3 e3d2 b3b4 d2c2 c6d6 c2d3 b4e1 d3c4 e1e3 c4b5 e3d4 b5a6 d4b4 a6b6 d6c6 b6c6 b4c4 c6b6 c4d5 b6a6 d5c5 a6b6 c5b6
0.5,LinearAI,LinearAI,b2b3 d6e4 c1a3 d5d4 d1c1 e4d2 b1d2 c6d5 b3b4 c5b4 a3b4 a5b4 c1b2 b6c5 d2b3 d5b3 b2b3 e6c6 e1d1 e5e4 a1b1 c5c4 e2e3 d4e3 b3c4 c6c4 d1c1 c4d4 c1b2 a6a5 b2b3 d4c4 b1a1 c4c3 b3b2 e3e2 a1b1 c3e3 b1e1 a5a4 b2c1 a4a3 c1d2 e3c3 e1e2 c3c4 e2e3 a3a2 e3b3 a2a1 d2e3 a1a2 e3d2 a2a1 d2e3 a1a2 e3d2 a2a1 d2e3 a1a2 e3d2 e4e3 b3e3 c4d4 e3d3 d4d3 d2d3 b4b3 c2b3 a2b3 d3d4 b3a3 d4c5 a3a4 c5b6 a4b4 b6c6 b4a5 c6c5 a5a4 c5b6 a4b4 b6c6 b4a5 c6c5 a5a4 c5b6 a4b4 b6c6 b4a5 c6c5 b5b4 c5c4 a5a4 c4d3 b4b3 d3c3 a4a3 c3c4 b3b2 c4c3
1,LinearAI,LinearAI,a2a3 d6c4 c2c3 c4d2 b1d2 c5c4 d2c4 b5c4 e2e3 e5e4 d1c2 e6e5 e1e2 b6b5 c1d2 b5c5 d2c1 c5d6 e2d1 e5e6 b2b3 d6e5 b3c4 d5c4 c1d2 e6d6 d1c1 d6d3 c2a2 c6b5 a3a4 d3c3 c1d1 b5c6 a2b2 c6a4 a1a4 e5b5 b2b5 a6b5 a4a5 b5a5 d2c3 a5b6 c3b4 b6b5 b4d6 b5c6 d6a3 c6b6 d1e2 b6c6 a3b4 c6d5 e2d1 d5e5 b4c5 e5d5 c5b4 d5e5 b4c5 e5d5 c5b4 d5e5 b4c5 e5d5 c5b6 d5d6 b6d4 d6c6 d1d2 c6b5 d2c3 b5c6 c3c4 c6d6 d4c3 d6c6 c4d4 c6b5 d4e4 b5c5 e4d3 c5c6 d3c4 c6b6 c3b4 b6a6 c4c5 a6b6 c5b6
0.5,LinearAI,LinearAI,b1c3 d6c4 e2e3 e5e4 c3b5 c6b5 c2c3 c4d2 e1d2 b5c4 d1a4 b6b5 a4b5 a6b5 a2a3 c4b3 d2e2 e6d6 c1d2 d6a6 d2c1 b3c2 e2d2 c2b3 d2e1 b5c6 c1d2 c5c4 e1e2 c6d6 a1e1 a6b6 e1a1 b3c2 d2c1 d6e5 e2d2 c2b3 d2e2 b3a4 e2e1 e5e6 e1d2 e6d6 d2e2 d6e5 e2e1 e5e6 e1d2 e6d6 d2e2 d6e5 e2e1 e5e6 e1d2 e6d6 d2e2 a4c2 e2d2 c2b3 d2e2 d6e5 a3a4 e5d6 e2e1 b6a6 e1d2 a6c6 d2e2 c6b6 e2e1 b6a6 e1d2 a6c6 d2e2 c6b6 e2e1 b6a6 e1d2 a6c6 d2e2 d6e5 c1d2 c6b6 d2c1 b6a6 c1d2 e5d6 d2c1 b3c2 e2d2 c2b3 a1a3 a6b6 a3b3 b6b3 d2c2 b3b6 c1d2 d6c6 c2b1
0.5,LinearAI,LinearAI,d1c3 d6c4 b1a3 e5e4 e2e3 c4d2 c1d2 b5b4 c3b3 a5a4 a3c4 a4b3 a2b3 a6b5 c4b6 b5b6 d2b4 c5b4 e1d2 c6b5 d2d1 e6c6 a1c1 b6c5 c1a1 c5d6 a1c1 d6e5 d1d2 c6c5 c1e1 e5d6 e1c1 d6e5 c1e1 e5d6 e1c1 d6e5 c1e1 e5d6 e1c1 b5a6 d2d1 d6e5 d1d2 c5c6 c1e1 c6c5 e1c1 c5c6 c1e1 c6c5 e1c1 c5c6 c1e1 c6c5 e1c1 e5d6 d2d1 d6e5 d1d2 e5d6 d2d1 d6e5 d1d2 c5a5 c1d1 a5a2 d1b1 a6b5 d2d1 a2a6 d1e1 a6c6 b1c1 b5d3 e1d1 d3b5 d1d2 c6a6 c1d1 a6a2 d1b1 b5a6 d2d1 a6b5 d1d2 b5a6 d2d1 a6b5 d1d2 b5a6 d2d1 a6b5 d1d2 e5d6 d2d1 d6c5 d1e1 c5d6 e1d1
0.5,LinearAI,LinearAI,e2e4 d6e4 d1e2 c5c4 b1c3 e4c3 b2c3 b6c5 e2e3 c5e3 d2e3 e5e4 c1a3 a6b6 e1d1 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6
0.5,LinearAI,LinearAI,a2a4 b5a4 e2e3 d6e4 b1a3 e4d2 d1d2 e5e4 e1d1 b6b4 d2b4 c5b4 a3b1 a6b5 c2c3 b4b3 b1d2 e6d6 d1e1 b5a6 e1d1 c6b5 a1a3 d6b6 a3a1 b5d3 a1a4 d3c2 d1e1 b6c6 a4a1 a6b5 a1a3 b5a6 d2b3 c2b3 a3b3 c6b6 b3a3 a6b5 e1e2 b5a6 a3a4 a6b5 a4a3 b5a6 a3a4 a6b5 a4a3 b5a6 a3a4 a6b5 a4a2 b5a6 a2a1 b6b5 e2d1 a6b6 d1d2 b6c5 d2e2 c5d6 a1a3 d6c6 a3a4 b5c5 c1d2 c6b5 a4a1 b5c4 a1a4 c4b3 a4d4 b3b2 c3c4 d5c4 d2a5 c5a5 d4c4 a5e5 c4a4 b2b1 e2e1 b1c2 e1e2 c2b3 a4a1 e5c5 a1a6 c5c2 e2d1 c2c3 d1e2 c3c2 e2d1 c2c3 d1e2 c3c2 e2d1 c2c3 d1e2
0.5,LinearAI,LinearAI,d2d4 e5d4 d1d3 d6c4 b1a3 c4e5 d3b3 a5a4 a3b5 a4b3 b5d4 c5d4 a2b3 a6b5 c1d2 e6d6 e1d1 d6e6 e2e3 d4e3 d2c3 d5d4 b3b4 d4c3 b2c3 e6d6 d1e1 c6e4 a1a5 b6a5 b4a5 d6d2 c3c4 e5c4 a5a6 b5a6 c2c3 a6a5 e1d2 a5a6 d2e2 a6b5 e2e1 c4d2 e1e2 b5c4 e2e3 c4c3 e3d4 e4c6 d4c3 d2e4 c3d4 e4d2 d4c5 c6e4 c5b6 d2b3 b6b5 e4d5 b5b4 b3c1 b4c5 d5e4 c5d4 e4d3 d4c3 d3e4 c3b2 c1e2 b2b3 e2d4 b3c3 d4c2 c3c4 c2a3 c4d4 e4c2 d4c3 c2d1 c3b4 a3b1 b4c5 d1b3 c5d4 b3a2 d4d3 b1a3 d3c3 a2d5 c3d4 d5c4 d4c5 c4d3 c5c6 a3b1 c6b6 b1c3 b6c5 c3e4 c5b4
1,LinearAI,LinearAI,e2e3 d6c4 b1a3 c4a3 b2a3 d5d4 c1b2 d4e3 d2e3 c6e4 b2c3 a5a4 c3b2 e6d6 d1c1 d6d5 e1e2 b6e6 c1b1 c5c4 b2c3 e4c2 b1c2 d5d3 c2b2 e5e4 b2b4 d3c3 b4c3 e6d6 a1d1 d6c5 d1d4 a6b6 d4e4 c5d6 e4e5 b6c6 e2e1 c6b6 c3b2 b5b4 b2b4 d6b4 a3b4 b6c6 e5c5 c6d6 c5c4 d6d5 c4c3 d5e5 b4b5 e5e4 b5b6 a4a3 b6d4 e4d5 d4d5
1,LinearAI,LinearAI,d2d3 e5e4 e2e3 e6e5 b1c3 e4d3 c2d3 c5c4 d1e2 c4d3 e2d3 d6c4 e1e2 b6c5 c3d5 c6d5 d3c3 d5e4 b2b3 c4e3 c3c5 e5c5 e2e3 e4c2 e3d4 c5c6 c1a3 c2b3 a2b3 a6b6 a1a2 a5a4 b3a4 b5a4 a2a1 b6b5 a1b1 b5a6 d4d3 c6b6 b1a1 a6b5 d3e2 b6a6 a1c1 a6e6 e2d3 e6e5 d3d4 e5e2 c1c5 b5a6 a3b4 e2a2 d4d5 a6b6 b4a5 b6a6 a5b4 a6b6 b4a5 b6a6 a5b4 a6b6 b4a5 b6a6 d5d4 a2a1 d4d3 a1b1 a5c3 a6b6 c5a5 b1d1 d3c4 d1a1 a5d5 b6c6 c3a1 a4a3 d5c5 c6b6 c5e5 b6a6 a1c3 a6b6 e5e6 b6a6 e6a6 a3a2 a6a2
0,LinearAI,LinearAI,c2c3 c5c4 e2e3 d6e4 b1a3 e6d6 d1c2 e4d2 c1d2 b6c5 e3e4 d5e4 e1e2 d6d3 c2c1 c6d5 d2e3 c5c6 c1c2 d5e6 c2b1 c6d6 b1c2 d6c6 c2b1 c6d6 b1c2 d6c6 c2b1 c6d6 b1c2 d6c6 c2c1 c6d6 a3b5 a6b5 c1c2 d6c6 e3c1 e4e3 c2d3 c4d3 e2d3 e6a2 d3e3 c6d5 e3e2 e5e4 e2e1 b5c6 c3c4 d5d4 a1a2 d4c4 a2a1 c4c2 c1d2 c2b2 a1a5 b2b1 e1e2 b1d3 e2d1 e4e3 a5a2 d3b1 d1e2 b1a2 e2e3 a2c2 d2b4 c2b3 e3d2 b3b4 d2c2 c6d6 c2d3 b4e1 d3c4 e1e3 c4b5 e3d4 b5a6 d4b4 a6b6 d6c6 b6c6 b4c4 c6b6 c4d5 b6a6 d5c5 a6b6 c5b6
0.5,LinearAI,LinearAI,b2b3 d6e4 c1a3 d5d4 d1c1 e4d2 b1d2 c6d5 b3b4 c5b4 a3b4 a5b4 c1b2 b6c5 d2b3 d5b3 b2b3 e6c6 e1d1 e5e4 a1b1 c5c4 e2e3 d4e3 b3c4 c6c4 d1c1 c4d4 c1b2 a6a5 b2b3 d4c4 b1a1 c4c3 b3b2 e3e2 a1b1 c3e3 b1e1 a5a4 b2c1 a4a3 c1d2 e3c3 e1e2 c3c4 e2e3 a3a2 e3b3 a2a1 d2e3 a1a2 e3d2 a2a1 d2e3 a1a2 e3d2 a2a1 d2e3 a1a2 e3d2 e4e3 b3e3 c4d4 e3d3 d4d3 d2d3 b4b3 c2b3 a2b3 d3d4 b3a3 d4c5 a3a4 c5b6 a4b4 b6c6 b4a5 c6c5 a5a4 c5b6 a4b4 b6c6 b4a5 c6c5 a5a4 c5b6 a4b4 b6c6 b4a5 c6c5 b5b4 c5c4 a5a4 c4d3 b4b3 d3c3 a4a3 c3c4 b3b2 c4c3
1,LinearAI,LinearAI,a2a3 d6c4 c2c3 c4d2 b1d2 c5c4 d2c4 b5c4 e2e3 e5e4 d1c2 e6e5 e1e2 b6b5 c1d2 b5c5 d2c1 c5d6 e2d1 e5e6 b2b3 d6e5 b3c4 d5c4 c1d2 e6d6 d1c1 d6d3 c2a2 c6b5 a3a4 d3c3 c1d1 b5c6 a2b2 c6a4 a1a4 e5b5 b2b5 a6b5 a4a5 b5a5 d2c3 a5b6 c3b4 b6b5 b4d6 b5c6 d6a3 c6b6 d1e2 b6c6 a3b4 c6d5 e2d1 d5e5 b4c5 e5d5 c5b4 d5e5 b4c5 e5d5 c5b4 d5e5 b4c5 e5d5 c5b6 d5d6 b6d4 d6c6 d1d2 c6b5 d2c3 b5c6 c3c4 c6d6 d4c3 d6c6 c4d4 c6b5 d4e4 b5c5 e4d3 c5c6 d3c4 c6b6 c3b4 b6a6 c4c5 a6b6 c5b6
0.5,LinearAI,LinearAI,b1c3 d6c4 e2e3 e5e4 c3b5 c6b5 c2c3 c4d2 e1d2 b5c4 d1a4 b6b5 a4b5 a6b5 a2a3 c4b3 d2e2 e6d6 c1d2 d6a6 d2c1 b3c2 e2d2 c2b3 d2e1 b5c6 c1d2 c5c4 e1e2 c6d6 a1e1 a6b6 e1a1 b3c2 d2c1 d6e5 e2d2 c2b3 d2e2 b3a4 e2e1 e5e6 e1d2 e6d6 d2e2 d6e5 e2e1 e5e6 e1d2 e6d6 d2e2 d6e5 e2e1 e5e6 e1d2 e6d6 d2e2 a4c2 e2d2 c2b3 d2e2 d6e5 a3a4 e5d6 e2e1 b6a6 e1d2 a6c6 d2e2 c6b6 e2e1 b6a6 e1d2 a6c6 d2e2 c6b6 e2e1 b6a6 e1d2 a6c6 d2e2 d6e5 c1d2 c6b6 d2c1 b6a6 c1d2 e5d6 d2c1 b3c2 e2d2 c2b3 a1a3 a6b6 a3b3 b6b3 d2c2 b3b6 c1d2 d6c6 c2b1
0.5,LinearAI,LinearAI,d1c3 d6c4 b1a3 e5e4 e2e3 c4d2 c1d2 b5b4 c3b3 a5a4 a3c4 a4b3 a2b3 a6b5 c4b6 b5b6 d2b4 c5b4 e1d2 c6b5 d2d1 e6c6 a1c1 b6c5 c1a1 c5d6 a1c1 d6e5 d1d2 c6c5 c1e1 e5d6 e1c1 d6e5 c1e1 e5d6 e1c1 d6e5 c1e1 e5d6 e1c1 b5a6 d2d1 d6e5 d1d2 c5c6 c1e1 c6c5 e1c1 c5c6 c1e1 c6c5 e1c1 c5c6 c1e1 c6c5 e1c1 e5d6 d2d1 d6e5 d1d2 e5d6 d2d1 d6e5 d1d2 c5a5 c1d1 a5a2 d1b1 a6b5 d2d1 a2a6 d1e1 a6c6 b1c1 b5d3 e1d1 d3b5 d1d2 c6a6 c1d1 a6a2 d1b1 b5a6 d2d1 a6b5 d1d2 b5a6 d2d1 a6b5 d1d2 b5a6 d2d1 a6b5 d1d2 e5d6 d2d1 d6c5 d1e1 c5d6 e1d1
0.5,LinearAI,LinearAI,e2e4 d6e4 d1e2 c5c4 b1c3 e4c3 b2c3 b6c5 e2e3 c5e3 d2e3 e5e4 c1a3 a6b6 e1d1 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6 e5e6 d6a3 e6e5 a3d6
